text,dominant_distortion,secondary_distortion
"I got a promotion, but the commute is longer, so the job is completely worthless.",Mental Filter,All-or-Nothing Thinking
"I feel lonely, so nobody loves me, and I'm blocking out my friends' calls.",Emotional Reasoning,Mental Filter
I feel hesitant to start dating again after the breakup.,No Distortion,
I feel awkward attending a party where I don't know anyone.,No Distortion,
"I lost my wallet; I lose everything, so my life is completely ruined.",Overgeneralization,All-or-Nothing Thinking
She's looking at the door; she wants to leave.,Jumping to Conclusions,
"You either love me or hate me, and since you argued with me, you hate me, ignoring all the love you show.",All-or-Nothing Thinking,Disqualifying the Positive
"My son failed; it's my fault, and I've ruined his future.",Personalization,Magnification or Minimization
I'm overwhelmed by the amount of emails in my inbox.,No Distortion,
I got rejected from one college; I'll never get into any school.,Overgeneralization,
"I look fit, but my arms are thin, so I look weak.",Mental Filter,
I spilled red wine on the carpet; this is a catastrophe.,Magnification or Minimization,
I applied to one job and didn't get it; I'll never get hired.,Overgeneralization,
"I see a scratch on the floor, so the house is ruined.",Mental Filter,Magnification or Minimization
They are quiet; they hate my idea.,Jumping to Conclusions,
She's crying; I must have said something wrong.,Personalization,
He didn't hug me; he's stopped loving me.,Jumping to Conclusions,
I am exhausted from taking care of the kids all week without a break.,No Distortion,
I know I'm going to fail the driving test.,Jumping to Conclusions,
"I must please everyone, and if I don't, I'm worthless, and I ought to be nicer.",Should Statements,All-or-Nothing Thinking
"I feel lonely, so I am unlovable and will be alone forever.",Emotional Reasoning,All-or-Nothing Thinking
"I fixed the computer, but I just Googled the answer, so I'm not tech-savvy.",Disqualifying the Positive,
I stumbled during the dance; the whole performance was a disaster.,All-or-Nothing Thinking,
"You're either with me or against me, because people are always trying to betray me.",All-or-Nothing Thinking,Overgeneralization
"I won't get the loan, so there's no point applying, because banks never approve me.",Jumping to Conclusions,Overgeneralization
"They applauded, but they were just being polite.",Disqualifying the Positive,
"If I don't get the job, I'm a total failure, because I feel so defeated right now.",All-or-Nothing Thinking,Emotional Reasoning
I should always be perfect.,Should Statements,
I got a B; my academic career is over.,Magnification or Minimization,
"You either love me or hate me, and you should support me unconditionally.",All-or-Nothing Thinking,Should Statements
You either support me completely or you're my enemy.,All-or-Nothing Thinking,
I should have saved more money.,Should Statements,
"I got a C; I'll never graduate, and I'm a dropout.",Magnification or Minimization,Labeling
"I failed the quiz, so I'll never learn this subject, and the teacher thinks I'm stupid.",Overgeneralization,Jumping to Conclusions
"I am a loser, so I have zero chance of happiness.",Labeling,All-or-Nothing Thinking
"This line is torture, and I'm going to miss my appointment.",Magnification or Minimization,Jumping to Conclusions
He didn't wave; people are so rude.,Overgeneralization,
"The review was glowing, but they noted a delay, so they hated it.",Mental Filter,
"I should be perfect, but I'm not, and I never live up to expectations.",Should Statements,Overgeneralization
I regret speaking so harshly to my child this morning.,No Distortion,
I lost $50; I am going to be destitute.,Magnification or Minimization,All-or-Nothing Thinking
"I am a bad mother, so my kids are ruined forever.",Labeling,All-or-Nothing Thinking
"I feel overwhelmed, so it's impossible, and I'm ignoring the solutions.",Emotional Reasoning,Mental Filter
I ought to have a better car.,Should Statements,
I feel disappointed that my friends cancelled our plans last minute.,No Distortion,
"I am a loser, and this loss is a humiliation.",Labeling,Magnification or Minimization
"I look good, but my hair is frizzy, so I look like a mess.",Mental Filter,
I am weary from taking care of my aging parents all week.,No Distortion,
"I feel guilty, so I am bad, and I'm a sinner.",Emotional Reasoning,Labeling
"She said I'm talented, but she's just being nice.",Disqualifying the Positive,
"This line is taking forever; this is torture, and I always get stuck waiting.",Magnification or Minimization,Overgeneralization
"I cooked dinner, but used a mix, so I can't cook, and my kids aren't getting enough nutrients.",Disqualifying the Positive,Jumping to Conclusions
I should be more social.,Should Statements,
The stock market crashed; I shouldn't have invested.,Personalization,
He hasn't called; he must have found someone better.,Jumping to Conclusions,
"It rained today, so it always rains on my days off, because I feel so unlucky.",Overgeneralization,Emotional Reasoning
Nothing ever goes right in my life.,Overgeneralization,
"I am weak, because I cried, and I'm ignoring my resilience.",Labeling,Mental Filter
I should have known the answer.,Should Statements,
I am a witch.,Labeling,
I feel heartbroken that my best friend is moving away.,No Distortion,
"I feel ashamed, so I am bad.",Emotional Reasoning,
"I am a bad mother, and my mistake will scar my kids forever.",Labeling,Magnification or Minimization
Children should be seen and not heard.,Should Statements,
"Unless the house is spotless, it's a pigsty, because I'm fixated on that one dust bunny.",All-or-Nothing Thinking,Mental Filter
"The boss called me in, so I'm fired, and my good performance review doesn't matter.",Jumping to Conclusions,Disqualifying the Positive
"I should be perfect, and this mistake is a disaster.",Should Statements,Magnification or Minimization
"I am a toxic person, because I feel like I poison everything I touch.",Labeling,Emotional Reasoning
"I am a coward, so I can never do anything brave.",Labeling,All-or-Nothing Thinking
"I see a grey hair, so I'm old and decrepit.",Mental Filter,
I am a pig.,Labeling,
Life should be fair.,Should Statements,
"I feel hopeless, so the situation is impossible.",Emotional Reasoning,
Waiting for the results is killing me.,Magnification or Minimization,
"I feel guilty, so I am bad, and I should be a better person.",Emotional Reasoning,Should Statements
"I look good, but it's the makeup, and people will be horrified when they see me natural.",Disqualifying the Positive,Jumping to Conclusions
I know I'm going to spill wine on the bride.,Jumping to Conclusions,
"They are laughing; it's about me, because I'm a freak.",Jumping to Conclusions,Labeling
I'm frazzled trying to organize this charity event by myself.,No Distortion,
Life should be easy.,Should Statements,
He looks bored; I'm uninteresting.,Personalization,
"I am a failure, and my successes are just flukes.",Labeling,Disqualifying the Positive
"She yawned, so I'm annoying her, because I feel like a nuisance.",Jumping to Conclusions,Emotional Reasoning
She's typing fast; she's writing an angry email about me.,Jumping to Conclusions,
"I got a ticket, so I'm always in trouble, and I ought to drive better.",Overgeneralization,Should Statements
"If I don't get this promotion, I'm a failure, and I've disappointed my entire family.",All-or-Nothing Thinking,Personalization
"I feel hopeless, so it's over, and nothing will ever get better.",Emotional Reasoning,Jumping to Conclusions
"I finished the race, but my time was slow.",Disqualifying the Positive,
The train is delayed; I caused it.,Personalization,
"My day was good, but I hit traffic, so it was a waste, and the productive morning doesn't count.",Mental Filter,Disqualifying the Positive
I am an idiot.,Labeling,
"I missed one workout, so I'm a slob, and the 5 days I exercised don't count.",All-or-Nothing Thinking,Disqualifying the Positive
I'm snowed under with paperwork and don't know where to begin.,No Distortion,
"I made a typo; I'm unprofessional, and everyone thinks I'm an idiot.",Magnification or Minimization,Labeling
I am a neurotic mess.,Labeling,
"He frowned, so he's angry, and this fight will end our relationship.",Jumping to Conclusions,Magnification or Minimization
The teacher is sighing; she's going to fail me.,Jumping to Conclusions,
I feel melancholy thinking about my childhood home being sold.,No Distortion,
"The feedback was glowing, but she noted a delay, so she's unhappy.",Mental Filter,
I must never fail.,Should Statements,
"I am weak, so I can't handle life, and it's all or nothing.",Labeling,All-or-Nothing Thinking
"If the house isn't spotless, it's a pigsty, and living like this is unbearable torture.",All-or-Nothing Thinking,Magnification or Minimization
I spilled ink; the carpet is ruined forever.,Magnification or Minimization,
Waiting is torture.,Magnification or Minimization,
"My day was good, but I hit traffic, so it was a waste, and I should have left earlier.",Mental Filter,Personalization
I am a loser.,Labeling,
"I am weak, because I feel helpless.",Labeling,Emotional Reasoning
"I missed one lecture, so I've failed the class, and I always ruin my education.",All-or-Nothing Thinking,Overgeneralization
They are silent; they are judging my outfit.,Jumping to Conclusions,
"I got the job, but they were desperate, and nobody ever hires me for my talent.",Disqualifying the Positive,Overgeneralization
I should be more muscular.,Should Statements,
"I feel stung by her criticism, even if it was constructive.",No Distortion,
"The team lost; I played badly, and I'm ignoring the other players' errors.",Personalization,Mental Filter
